Numéro;Date;Montant;Etat;Tiers;Catégories;Sous-catégorie;Compte;Compte virement;Mode paiement;Ref. Paiement;Référence;Projets/Biens;Commentaire
131;10/01/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
132;10/01/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
133;10/01/2022;-68,30;2;Amazon;Équipement du logement;Équipement du logement;FrenchBanq;;Autre;;;;
134;10/01/2022;-3,42;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
135;10/01/2022;3,42;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
136;10/01/2022;-15,16;2;DYA Shopping;Équipement du logement;Ameublement;FrenchBanq;;Autre;;;;
137;10/01/2022;-0,76;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
138;10/01/2022;0,76;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
139;10/01/2022;-121,74;2;Leclerc;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
140;10/01/2022;-6,09;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
141;10/01/2022;6,09;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
142;11/01/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
143;11/01/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
144;11/01/2022;-9,90;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
145;11/01/2022;-19,99;2;Free Mobile;Abonnement/factures;Portable;FrenchBanq;;Autre;;;;
146;13/01/2022;-9,90;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
147;13/01/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
148;13/01/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
149;17/01/2022;-11,10;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
150;17/01/2022;-0,56;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
151;17/01/2022;0,56;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
152;17/01/2022;-132,61;2;Leclerc;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
153;17/01/2022;-6,63;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
154;17/01/2022;6,63;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
155;19/01/2022;-9,90;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
156;19/01/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
157;19/01/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
158;19/01/2022;-124,74;2;Leclerc;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
159;19/01/2022;-6,24;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
160;19/01/2022;6,24;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
161;20/01/2022;-200,00;2;SCP ZEHNDER-AMOU;Divers;Responsabilité civile;FrenchBanq;;Autre;;;;
162;20/01/2022;-31,98;2;GIFI;Équipement du logement;Ameublement;FrenchBanq;;Autre;;;;
163;20/01/2022;-1,60;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
164;20/01/2022;1,60;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
165;20/01/2022;-5,07;2;Action;Équipement du logement;Équipement du logement;FrenchBanq;;Autre;;;;
166;20/01/2022;-0,25;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
167;20/01/2022;0,25;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
168;20/01/2022;16,00;2;GIFI;Autres revenus;Autres revenus;FrenchBanq;;Autre;;;;
169;21/01/2022;100,00;2;CPAM DE L'ARTOIS;Autres revenus;Pension Invalidité;FrenchBanq;;Autre;;;;
170;24/01/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
171;24/01/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
172;24/01/2022;-9,90;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
173;24/01/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
174;24/01/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
175;25/01/2022;-9,90;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
176;27/01/2022;-9,90;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
177;27/01/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
178;27/01/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
179;31/01/2022;-9,90;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
180;31/01/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
181;31/01/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
182;31/01/2022;-154,84;2;Leclerc;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
183;31/01/2022;-7,74;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
184;31/01/2022;7,74;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
185;31/01/2022;-2,90;2;French Bank;Frais bancaires;Services / Abonnement;FrenchBanq;;Autre;;;;
186;31/01/2022;-9,90;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
187;01/02/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
188;01/02/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
189;03/02/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
190;03/02/2022;943,59;2;CPAM DE L'ARTOIS;Autres revenus;Pension Invalidité;FrenchBanq;;Autre;;;;
191;03/02/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
192;03/02/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
193;07/02/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
194;07/02/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
195;07/02/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
196;08/02/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
197;08/02/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
198;08/02/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
199;10/02/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
200;10/02/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
201;10/02/2022;-19,99;2;Free Mobile;Abonnement/factures;Portable;FrenchBanq;;Autre;;;;
202;10/02/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
203;11/02/2022;-255,55;2;Leclerc;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
204;11/02/2022;-12,78;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
205;11/02/2022;12,78;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
206;14/02/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
207;14/02/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
208;14/02/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
209;14/02/2022;-108,73;2;Henri Boucher;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
210;14/02/2022;-5,44;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
211;14/02/2022;5,44;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
212;14/02/2022;-60,00;2;Retrait d'Espèces;Transferts;Transfert;FrenchBanq;;Autre;;Retrait d'es;;
213;14/02/2022;60,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
214;14/02/2022;-0,90;2;French Bank;Frais bancaires;Frais divers;FrenchBanq;;Autre;;;;
215;14/02/2022;-3,00;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
216;14/02/2022;3,00;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
217;15/02/2022;-25,99;2;Brice;Habillement;Vetements;FrenchBanq;;Autre;;;;
218;15/02/2022;-50,14;2;Brice;Habillement;Vetements;FrenchBanq;;Autre;;;;
219;15/02/2022;-1,30;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
220;15/02/2022;1,30;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
221;15/02/2022;-2,51;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
222;15/02/2022;2,51;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
223;15/02/2022;-11,20;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
224;15/02/2022;-0,56;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
225;15/02/2022;0,56;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
226;17/02/2022;-700,00;2;Retrait d'Espèces;Transferts;Transfert;Livret A;;Autre;;;;
227;17/02/2022;700,00;2;Livret A;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
228;17/02/2022;-650,00;2;Autres;Auto/moto;Achat auto/moto;Retrait d'Espèces;;Autre;;;;
229;17/02/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
230;17/02/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
231;17/02/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
232;18/02/2022;-200,00;2;SCP ZEHNDER-AMOU;Divers;Responsabilité civile;FrenchBanq;;Autre;;;;
233;19/02/2022;-30,00;2;Carburant;Auto/moto;Carburant;Retrait d'Espèces;;Autre;;;;
234;19/02/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
235;21/02/2022;-165,69;2;L'Olivier Assurance;Auto/moto;Assurance Auto/moto;FrenchBanq;;Autre;;;;
236;21/02/2022;-8,28;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
237;21/02/2022;8,28;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
238;21/02/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
239;21/02/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
240;21/02/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
241;21/02/2022;-100,00;2;Booking.com;Vacances;Séjours;FrenchBanq;;Autre;;;;
242;21/02/2022;-5,00;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
243;21/02/2022;5,00;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
244;21/02/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
245;21/02/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
246;21/02/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
247;21/02/2022;-108,30;2;Aqua Resort;Vacances;Alimentation/restaurant;FrenchBanq;;Autre;;;;
248;21/02/2022;-5,42;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
249;21/02/2022;5,42;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
