0;20240828;-11,00;2;Leclerc;Frais Profesionnel;Alimentation/Restaurant;Retrait d'Espèces;;Autre;;;;
103;20221209;-10,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
104;20221209;-300,00;2;Luc cuisine;Équipement du logement;Ameublement;Retrait d'Espèces;;Autre;;;;
105;20221209;300,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
106;20221125;-10,00;2;Jerome;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
107;20221120;-10,00;2;Jerome;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
108;20221119;-50,00;2;Matthéo;Divers;Cadeaux;Retrait d'Espèces;;Autre;;;;
109;20221119;70,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
110;20221115;-50,00;2;David Malbranque;Loisirs/culture/sport;Manifestations sportives;Retrait d'Espèces;;Autre;;;;repas nouvelle ans
111;20221115;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
112;20221110;-250,00;2;Luc cuisine;Équipement du logement;Ameublement;Retrait d'Espèces;;Autre;;;;
113;20221110;250,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
114;20221108;-35,00;2;Psy;Santé;Psycologue;Retrait d'Espèces;;Autre;;;;
115;20221107;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
116;20221104;-962,34;2;Electro Depot;Équipement du logement;Ameublement;Retrait d'Espèces;;Autre;;;;
117;20221103;-20,00;2;sandra;Équipement du logement;Travaux / Décoration;Retrait d'Espèces;;Autre;;;;
118;20221103;-10,00;2;Delphine;Soins de la personne;Coiffeur/esthéticienne;Retrait d'Espèces;;Autre;;;;
119;20221103;-6,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
120;20221031;20,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
121;20221031;500,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
122;20221031;480,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
123;20221022;-50,00;2;Manon Panouillot;Divers;Cadeaux;Retrait d'Espèces;;Autre;;;;
124;20221020;-17,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
125;20221019;-35,00;2;Psy;Santé;Psycologue;Retrait d'Espèces;;Autre;;;;
126;20221018;-200,00;2;Severine;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
127;20221018;300,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
128;20221007;-5,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
129;20221007;-10,00;2;lucas;Divers;Cadeaux;Retrait d'Espèces;;Autre;;;;
130;20221003;-5,00;2;Melvin;Divers;Cadeaux;Retrait d'Espèces;;Autre;;;;
131;20221003;-27,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
132;20220929;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
133;20220913;-2,00;2;lucas;Divers;Cadeaux;Retrait d'Espèces;;Autre;;;;
134;20220902;-22,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
135;20220902;-70,00;2;Psy;Santé;Psycologue;Retrait d'Espèces;;Autre;;;;
136;20220902;70,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
137;20220826;-19,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
